category,name,url,price,image,color,screen type,rear camera,front camera,chipset,ram,internal memory (rom)
iphone,điện thoại iphone 12 pro max pacific blue 128gb mgda3vn/a,https://pico.vn/41884/dien-thoai-di-dong-iphone-12-pro-max-pacific-blue-128gb--mgda3vna.html,29090000,https://cdn.pico.vn/product/41884/363821_l10215628.jpg,ios 14,nan,sau: 3 cam 12 mp.,trước 12mp,apple a14 bionic,ram 6 gb,rom 128 gb
nokia,điện thoại nokia 3.4 purple,https://pico.vn/41883/dien-thoai-di-dong-nokia-34-ta1288-ds-464-vn-purple.html,2790000,https://cdn.pico.vn/product/41883/363787_untitled-1.jpg,android 10 (android one),ips lcd,"sau 13mp & 5 mp, 2 mp,",trước 8mp,snapdragon 460 8 nhân,ram 4 gb,rom 64 gb
nokia,điện thoại nokia 3.4 grey,https://pico.vn/41882/dien-thoai-di-dong-nokia-34-ta1288-ds-464-vn-grey.html,2790000,https://cdn.pico.vn/product/41882/363775_untitled-1.jpg,android 10 (android one),ips lcd,"sau 13mp & 5 mp, 2 mp,",trước 8mp,snapdragon 460 8 nhân,ram 4 gb,rom 64 gb
nokia,điện thoại nokia 3.4 blue,https://pico.vn/41881/dien-thoai-di-dong-nokia-34-ta1288-ds-464-vn-blue.html,2790000,https://cdn.pico.vn/product/41881/363763_untitled-1.jpg,android 10 (android one),ips lcd,"sau 13mp & 5 mp, 2 mp,",trước 8mp,nan,ram 4gb,64 gb
vivo,điện thoại vivo y20 (4+64gb) xanh,https://pico.vn/41880/dien-thoai-di-dong-vivo-2027-y20-464gb-xanh.html,3490000,https://cdn.pico.vn/product/41880/363751_untitled-1.jpg,android 10,ips lcd,"camera sau: 13 mp & 2mp,2 mp.",camera trước: 8 mp,snapdragon 460 8 nhân,ram 4 gb,64gb
nokia,điện thoại nokia 8000 4g,https://pico.vn/41879/dien-thoai-di-dong-nokia-8000-4g-ta1305-ds-vn-black.html,1790000,https://cdn.pico.vn/product/41879/363733_untitled-1.jpg,nan,"tft lcd,",nan,nan,nan,nan,nan
vivo,điện thoại vivo y12s (4+128gb) xanh,https://pico.vn/41878/dien-thoai-di-dong-vivo-v2026-y12s-4128gb-xanh.html,3890000,https://cdn.pico.vn/product/41878/363721_untitled-1.jpg,android 10,ips lcd,camera sau: 13 mp & 2mp.,camera trước: 8 mp,mediatek helio p35 8 nhân,ram 4gb,128gb
vivo,điện thoại vivo y12s (4+128gb) đen,https://pico.vn/41877/dien-thoai-di-dong-vivo-v2026-y12s-4128gb-den.html,3890000,https://cdn.pico.vn/product/41877/363720_untitled-1.jpg,android 10,ips lcd,camera sau: 13 mp & 2mp.,camera trước: 8 mp,mediatek helio p35 8 nhân,ram 4gb,128gb
vivo,điện thoại vivo v20 se (8+128gb) đen,https://pico.vn/41876/dien-thoai-di-dong-vivo-v2022-v20-se-8128gb-den.html,5890000,https://cdn.pico.vn/product/41876/363708_a.jpg,android 10,amoled,"camera sau: 48 mp & 8mp,2 mp.",camera trước: 32 mp,snapdragon 665 8 nhân,ram 8gb,128gb
nokia,điện thoại nokia 5310 (2020) trắng,https://pico.vn/41830/dien-thoai-di-dong-nokia-5310-ta1212-ds-vn-whitered.html,990000,https://cdn.pico.vn/product/41830/363213_637206637640496255nokia-5310-2020-trang-2.jpg,nan,nan,camera vga có đèn flash,nan,nan,nan,nan
