name,url,price,ram,rom,image,category
điện thoại samsung galaxy s21 ultra 5g 12gb/128gb bạc,https://www.nguyenkim.com/dien-thoai-samsung-galaxy-s21-ultra-5g-12gb-128gb-bac.html,21790000, 12gb , 128gb ,https://cdn.nguyenkimmall.com/design/themes/responsive/media/images/lazy_img.jpg,samsung
điện thoại samsung galaxy a31 đen,https://www.nguyenkim.com/dien-thoai-samsung-galaxy-a31-den.html,5190000, 6 gb , 128 gb ,https://cdn.nguyenkimmall.com/design/themes/responsive/media/images/lazy_img.jpg,samsung
điện thoại vsmart live 4 (6gb/64gb) đen lam ngọc,https://www.nguyenkim.com/dien-thoai-vsmart-live-4-6gb-64gb-den-lam-ngoc.html,3990000, 6gb , 64gb ,https://cdn.nguyenkimmall.com/design/themes/responsive/media/images/lazy_img.jpg,vsmart
điện thoại vsmart active 3 (6gb/64gb) tím ngọc,https://www.nguyenkim.com/dien-thoai-vsmart-active-3-6gb-64gb-tim-ngoc.html,3590000, 6 gb , 64 gb ,https://cdn.nguyenkimmall.com/design/themes/responsive/media/images/lazy_img.jpg,vsmart
điện thoại vsmart joy 4 (4gb/64gb) trắng ngọc trai,https://www.nguyenkim.com/dien-thoai-vsmart-joy-4-4gb-64gb-trang-ngoc-trai.html,3040000, 4gb , 64gb ,https://cdn.nguyenkimmall.com/design/themes/responsive/media/images/lazy_img.jpg,vsmart
vsmart active 3 (4gb/64gb) đen thạch anh,https://www.nguyenkim.com/vsmart-active-3-4gb-64gb-den-thach-anh.html,2890000, 4 gb , 64 gb ,https://cdn.nguyenkimmall.com/design/themes/responsive/media/images/lazy_img.jpg,vsmart
điện thoại vsmart star 5 3gb/32gb xanh lục bảo,https://www.nguyenkim.com/dien-thoai-vsmart-star-5-3gb-32gb-xanh-luc-bao.html,2490000, 3gb , 32gb ,https://cdn.nguyenkimmall.com/design/themes/responsive/media/images/lazy_img.jpg,vsmart
điện thoại vsmart star 5 3gb/32gb đen,https://www.nguyenkim.com/dien-thoai-vsmart-star-5-3gb-32gb-den.html,2490000, 3gb , 32gb ,https://cdn.nguyenkimmall.com/design/themes/responsive/media/images/lazy_img.jpg,vsmart
điện thoại oppo reno5 bạc,https://www.nguyenkim.com/dien-thoai-oppo-reno5-bac.html,7990000, 8gb , 128gb ,https://cdn.nguyenkimmall.com/design/themes/responsive/media/images/lazy_img.jpg,oppo
điện thoại vivo y30 4gb/128gb trắng,https://www.nguyenkim.com/dien-thoai-vivo-y30-trang.html,3790000, 4 gb , 128 gb ,https://cdn.nguyenkimmall.com/design/themes/responsive/media/images/lazy_img.jpg,vivo
điện thoại oppo a15 đen,https://www.nguyenkim.com/dien-thoai-oppo-a15-den.html,3190000, 3gb , 32gb ,https://cdn.nguyenkimmall.com/design/themes/responsive/media/images/lazy_img.jpg,oppo
điện thoại xiaomi redmi 9 4gb/64gb tím,https://www.nguyenkim.com/dien-thoai-xiaomi-redmi-9-4gb-64gb-tim.html,3290000, 4 gb , 64 gb ,https://cdn.nguyenkimmall.com/design/themes/responsive/media/images/lazy_img.jpg,xiaomi
điện thoại vsmart star 4 (3gb/32gb) trắng,https://www.nguyenkim.com/dien-thoai-vsmart-star-4-3gb-32gb-trang.html,2190000, 3 gb , 32 gb ,https://cdn.nguyenkimmall.com/design/themes/responsive/media/images/lazy_img.jpg,vsmart
điện thoại nokia 105 ds vn blue (2019),https://www.nguyenkim.com/nokia-105-ds-vn-blue-2019.html,369000,,,https://cdn.nguyenkimmall.com/design/themes/responsive/media/images/lazy_img.jpg,nokia
