name,category,price,image,url,ram,memory/rom
xiaomi redmi 9 4g (4gb - 64gb),xiaomi,2.950.000 ₫,https://cdn.cellphones.com.vn/media/catalog/product/cache/7/small_image/220x175/9df78eab33525d08d6e5fb8d27136e95/r/e/redmi_9_0002_layer_1_2_2.jpg,https://cellphones.com.vn/xiaomi-redmi-9-64gb.html,4 gb,
samsung galaxy s21 ultra 5g 256gb,samsung,26.600.000 ₫,https://cdn.cellphones.com.vn/media/catalog/product/cache/7/small_image/220x175/9df78eab33525d08d6e5fb8d27136e95/s/a/samsung-galaxy-s21-ultra-1_1_2.jpg,https://cellphones.com.vn/samsung-galaxy-s21-ultra-256gb.html,12 gb,
xiaomi redmi note 10 pro 6gb,xiaomi,4.290.000 ₫,https://cdn.cellphones.com.vn/media/catalog/product/cache/7/small_image/220x175/9df78eab33525d08d6e5fb8d27136e95/x/i/xiaomi-redmi-note-10-pro_2__2.png,https://cellphones.com.vn/xiaomi-redmi-note-10-pro-6gb.html,6 gb,
samsung galaxy a31,samsung,5.350.000 ₫,https://cdn.cellphones.com.vn/media/catalog/product/cache/7/small_image/220x175/9df78eab33525d08d6e5fb8d27136e95/3/_/3_48_27.jpg,https://cellphones.com.vn/samsung-galaxy-a31.html,6 gb,
xiaomi mi 10t pro 5g,xiaomi,11.200.000 ₫,https://cdn.cellphones.com.vn/media/catalog/product/cache/7/small_image/220x175/9df78eab33525d08d6e5fb8d27136e95/x/i/xiaomi-mi-10t-pro_2_.jpg,https://cellphones.com.vn/xiaomi-mi-10t-pro.html,8 gb,
vivo x60 pro 5g,vivo,14.992.000 ₫,https://cdn.cellphones.com.vn/media/catalog/product/cache/7/small_image/220x175/9df78eab33525d08d6e5fb8d27136e95/v/i/vivo-x60-pro-8.jpg,https://cellphones.com.vn/vivo-x60-pro.html,12 gb + 3 gb (ram bổ sung),
xiaomi redmi 9a,xiaomi,1.900.000 ₫,https://cdn.cellphones.com.vn/media/catalog/product/cache/7/small_image/220x175/9df78eab33525d08d6e5fb8d27136e95/r/e/redmi_9a_0005_background.jpg,https://cellphones.com.vn/xiaomi-redmi-9a.html,2 gb,
nokia 2.4,nokia,2.390.000 ₫,https://cdn.cellphones.com.vn/media/catalog/product/cache/7/small_image/220x175/9df78eab33525d08d6e5fb8d27136e95/n/o/nokia-2.4_1_.jpg,https://cellphones.com.vn/nokia-24.html,2 gb,
samsung galaxy a02s,samsung,3.350.000 ₫,https://cdn.cellphones.com.vn/media/catalog/product/cache/7/small_image/220x175/9df78eab33525d08d6e5fb8d27136e95/s/a/samsung-galaxy-a02s-1.jpg,https://cellphones.com.vn/samsung-galaxy-a02s.html,4 gb,
samsung galaxy a11,samsung,2.700.000 ₫,https://cdn.cellphones.com.vn/media/catalog/product/cache/7/small_image/220x175/9df78eab33525d08d6e5fb8d27136e95/3/_/3_48_28.jpg,https://cellphones.com.vn/samsung-galaxy-a11.html,3 gb,
